Master Code,Legacy Code,Category,Sub Category,Brand/Short Code,Item Name,Specification,Unit,Base Rate/Price,GST/TAX,HSN Code,Existing Image URL,Suggested Image Path,Suggested Image File,Match Score,Upload Status
MAT-000128,BATH000128,Bathroom Fittings,Bathroom Fitting,Parryware,"Parryware CONNECTION PIPE 24""","Parryware CONNECTION PIPE 24""",Nos,?80.24,18%,8585 80 90,,catalog_images/ppr_item_1.jpg,ppr_item_1.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-000128,BATH000128,Bathroom Fittings,Bathroom Fitting,Parryware,"Parryware CONNECTION PIPE 24""","Parryware CONNECTION PIPE 24""",Nos,?80.24,18%,8585 80 90,,catalog_images/ppr_item_2.jpg,ppr_item_2.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-000128,BATH000128,Bathroom Fittings,Bathroom Fitting,Parryware,"Parryware CONNECTION PIPE 24""","Parryware CONNECTION PIPE 24""",Nos,?80.24,18%,8585 80 90,,catalog_images/ppr_item_3.jpg,ppr_item_3.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-000128,BATH000128,Bathroom Fittings,Bathroom Fitting,Parryware,"Parryware CONNECTION PIPE 24""","Parryware CONNECTION PIPE 24""",Nos,?80.24,18%,8585 80 90,,catalog_images/ppr_item_4.jpg,ppr_item_4.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-000494,ELEC000494,Electrical-Conduit Pipes,Conduit,Finolex,PVC Conduit Pipe 20mm - Finolex,PVC Conduit Pipe 20mm - Finolex,Meter,?48.00,18%,8541 10 00,,catalog_images/ppr_item_5.jpg,ppr_item_5.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-000491,ELEC000491,Electrical-Conduit Pipes,Conduit,Finolex,PVC Conduit Pipe 25mm - Finolex,PVC Conduit Pipe 25mm - Finolex,Meter,?60.00,18%,8538 10 00,,catalog_images/ppr_item_6.jpg,ppr_item_6.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-000497,ELEC000497,Electrical-Conduit Pipes,Electrical,Finolex,PVC Elbow 25mm - Finolex,PVC Elbow 25mm - Finolex,Nos,?6.00,18%,8539 10 00,,catalog_images/ppr_item_7.jpg,ppr_item_7.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-000131,BATH000131,Bathroom Fittings,Diverter,Jaquar,Jaquar Concealed body for Single Lever Diverter - 40mm,Jaquar Concealed body for Single Lever Diverter - 40mm,Nos,"?3,120.00",18%,8588 80 90,,catalog_images/ppr_item_8.jpg,ppr_item_8.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-000494,ELEC000494,Electrical-Conduit Pipes,Conduit,Finolex,PVC Conduit Pipe 20mm - Finolex,PVC Conduit Pipe 20mm - Finolex,Meter,?48.00,18%,8541 10 00,,catalog_images/ppr_item_9.jpg,ppr_item_9.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-000491,ELEC000491,Electrical-Conduit Pipes,Conduit,Finolex,PVC Conduit Pipe 25mm - Finolex,PVC Conduit Pipe 25mm - Finolex,Meter,?60.00,18%,8538 10 00,,catalog_images/ppr_item_10.jpg,ppr_item_10.jpg,3,READY_FOR_IMAGE_UPLOAD
